,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
11,GO:0008021,synaptic vesicle,122,-0.663717085,-2.401374468,1.00E-10,1.83E-09,1.11E-09,750,"tags=57%, list=12%, signal=51%",PTPRN2/ATP2B1/VAMP2/SLC35D3/BSN/CLCN3/MFF/TRIM9/PTPRS/ATP6V1B1/STX16/VTI1A/LGI3/BORCS5/AP3S2/RAB40C/MCTP2/RPH3A/ATP6V0C/RAB26/ANP32E/ATP6V1G1/SLC17A6/APBA1/SEPTIN5/ATP8A1/GAD2/STXBP5/SYT5/DMXL2/SLC6A17/ATP6V0D1/PSEN2/STX12/SYT7/SNAP25/SNCA/ROGDI/SYNGR3/DNM1L/SLC17A5/ATP6AP2/BIN1/SNAP91/SYN1/ATP6V1C1/RAB3A/ATP6V0A1/RAB3B/WFS1/RAB3C/ATP6AP1/SVOP/CACFD1/DNAJC5/SYP/VTI1B/AMPH/RAB12/ATP6V1H/SV2A/SCAMP1/STX1A/ABCC8/ATP6V1A/ATP6V1B2/ATP6V1D/ATP6V1E1/STX3
12,GO:0030658,transport vesicle membrane,134,-0.639515492,-2.362117442,1.00E-10,1.83E-09,1.11E-09,662,"tags=51%, list=11%, signal=46%",ATP6V1F/ARFGEF3/PTPRN2/ATP2B1/VAMP2/SLC35D3/BSN/CLCN3/PTPRS/TMEM30A/ATP6V1B1/STX16/VTI1A/NCALD/BORCS5/MCTP2/RPH3A/ATP6V0C/RAB26/ANP32E/SCG3/TMED2/ATP6V1G1/SLC17A6/RPH3AL/ATP8A1/GAD2/SYT5/DMXL2/PAM/SLC6A17/ATP6V0D1/STX12/SLC30A8/SYT7/SNCA/SYNGR3/DNM1L/CPE/SLC17A5/ATP6AP2/BIN1/TMEM184A/SYN1/SORL1/ATP6V1C1/RAB3A/ATP6V0A1/PTPRN/RAB3B/WFS1/RAB3C/ATP6AP1/SVOP/SCGN/DNAJC5/SYP/VTI1B/AMPH/ATP6V1H/SV2A/SCAMP1/STX1A/ABCC8/ATP6V1A/ATP6V1B2/ATP6V1D/ATP6V1E1
13,GO:0005840,ribosome,166,0.548897345,2.31515239,1.00E-10,1.83E-09,1.11E-09,656,"tags=45%, list=11%, signal=41%",RPS15A/RPL22L1/RPL11/RPL30/RPS3A/RPL36/RPS27L/RPL8/RPL18A/RPL9/RPS16/RRBP1/RPS3/RPS14/RPS4X/GCN1/RPS23/RPL10/RPS11/RPL34/RPS5/RPL22/RACK1/RPL10A/RPS6/RPL26/RPS17/RPS8/RPL36A/RPL24/RPL3/RPL19/RPS19/RPL27A/RPL31/RPS18/RPS20/RPS24/RPS9/RPS25/RPS2/RPL35A/RPL23/RPL12/RPL17/RPL7/RPL21/RPL32/RPL4/RPL13A/RPL14/RPL36AL/RPL28/RPL5/RPLP0/RPS13/RPL7A/RSL24D1/RPSA/RPS15/RPS12/RPL37A/RPL23A/RPL27/RPL6/RPL29/RPL15/RPS10/RPL35/RPL13/RPS7/RNF25/RPL38/RPL18
14,GO:0030133,transport vesicle,219,-0.595443997,-2.304338508,1.00E-10,1.83E-09,1.11E-09,1164,"tags=46%, list=19%, signal=39%",YIPF2/RABAC1/RAB11FIP5/CLCN4/ATP6V1F/M6PR/ARFGEF3/PTPRN2/ATP2B1/VAMP2/SLC35D3/BSN/CLCN3/MFF/TRIM9/PTPRS/APH1B/TMEM30A/ATP6V1B1/STX16/PCSK2/VTI1A/NCALD/CHP1/LGI3/SYT17/BORCS5/AP3S2/RAB40C/GOLIM4/MCTP2/RPH3A/ATP6V0C/RAB26/ANP32E/SCG3/TMED2/ATP6V1G1/SLC17A6/APBA1/SEPTIN5/RPH3AL/ATP8A1/TGOLN2/VAMP4/RAB1B/GAD2/STXBP5/SYT5/DMXL2/PAM/SLC6A17/ATP6V0D1/PSEN2/STX12/SLC30A8/SYT7/SNAP25/SNCA/ROGDI/SYNGR3/DNM1L/SORT1/CPE/SLC17A5/SYT13/ATP6AP2/BIN1/SNAP91/TMEM184A/SYN1/SORL1/ATP6V1C1/RAB3A/ATP6V0A1/PTPRN/CHGA/RAB3B/WFS1/PCSK1/GNAS/RAB3C/ATP6AP1/SVOP/CACFD1/SCGN/DNAJC5/SYP/VTI1B/AMPH/RAB12/ATP6V1H/SV2A/SCAMP1/STX1A/ABCC8/ATP6V1A/ATP6V1B2/ATP6V1D/ATP6V1E1/STX3
15,GO:0044391,ribosomal subunit,149,0.549993375,2.289554733,1.00E-10,1.83E-09,1.11E-09,656,"tags=46%, list=11%, signal=42%",RPS15A/RPL11/RPL30/RPS3A/RPL36/RPS27L/RPL8/RPL18A/RPL9/RPS16/RPS3/RPS14/RPS4X/RPS23/RPL10/RPS11/RPL34/RPS5/RPL22/RACK1/RPL10A/RPS6/RPL26/RPS17/RPS8/RPL36A/RPL24/RPL3/RPL19/RPS19/RPL27A/RPL31/RPS18/RPS20/RPS24/RPS9/RPS25/RPS2/RPL35A/RPL23/RPL12/RPL17/RPL7/RPL21/RPL32/RPL4/RPL13A/RPL14/RPL36AL/RPL28/RPL5/RPLP0/RPS13/RPL7A/RPSA/RPS15/RPS12/RPL37A/RPL23A/RPL27/RPL6/RPL29/RPL15/RPS10/RPL35/RPL13/RPS7/RPL38/RPL18
16,GO:0098793,presynapse,265,-0.574484289,-2.274504788,1.00E-10,1.83E-09,1.11E-09,1135,"tags=47%, list=18%, signal=40%",C1QL1/PTPRN2/ATP2B1/VAMP2/SLC35D3/METTL5/BSN/CLCN3/MFF/TRIM9/AP3B2/SRCIN1/PTPRS/ATP6V1B1/CPLX2/PNKD/ITSN1/ARHGAP44/STX16/GSK3B/SLC8A2/BLTP1/SPTBN2/VTI1A/SEPTIN3/GRIPAP1/NF1/TNIK/PIAS1/LGI3/GPM6A/BORCS5/LRFN2/AP3S2/GUCY1B1/RAB40C/RAB3GAP2/MCTP2/RPH3A/DNAJC6/C9orf72/ATP6V0C/LIN7B/RAB26/ANP32E/SCRN1/ATP6V1G1/SLC17A6/APBA1/SEPTIN5/PRUNE2/PPFIA3/RPH3AL/ATP8A1/FBXO45/CDK5/GDI1/SYNJ1/GAD2/CANX/STXBP5/SYT5/GAP43/DMXL2/SLC6A17/GNAO1/PRNP/ATP6V0D1/PSEN2/STX12/SYT7/CADPS/SNAP25/SH3GL2/SNCA/BAIAP2/ROGDI/SYNGR3/DNM1L/PFN2/NAPA/NPTX2/SLC17A5/CASR/SLC4A10/CACNA2D1/ATP6AP2/BIN1/SNAP91/CACNA2D2/SLC29A1/SYN1/PRAF2/ATP6V1C1/RAB3A/RAB6B/KIF21A/ATP6V0A1/PTPRN/KCNJ11/RAB3B/WFS1/PCSK1/RAB3C/ATP6AP1/SVOP/STXBP1/CACFD1/SCGN/DNAJC5/SYP/VTI1B/AMPH/RAB12/ATP6V1H/SV2A/SCAMP1/STX1A/ABCC8/ATP6V1A/ATP6V1B2/ATP6V1D/ATP6V1E1/STX3
17,GO:0070161,anchoring junction,458,0.454897778,2.091209793,1.00E-10,1.83E-09,1.11E-09,736,"tags=31%, list=12%, signal=30%",MAGI3/SH3PXD2B/RPL30/CTNNA1/NIBAN2/RPS3A/CDH1/PPP1CA/TJP2/RPL8/LCP1/RPL9/RPS16/RPS3/RPS14/BSG/RPS4X/PDLIM7/MYH9/RPS11/CTNND1/PACSIN2/RPS5/CAT/RPL22/RPL10A/CGN/ADAM10/PKP3/ADD1/YAP1/TES/SORBS2/GIT2/EGFR/PTPRK/RPS17/RPS8/CNN3/CDC42EP1/RPL3/RPL19/RPS19/ACTN4/DSC2/RPL31/SNAP23/KRT18/TNKS1BP1/RPS18/ANXA2/RPS9/EPB41L4B/TJP1/DMD/RPS2/JCAD/EZR/NPM1/RPL23/FBP2/RPL12/CD44/LYN/RPL7/SNTB1/DBN1/ADA/RPL4/RPL13A/FBLIM1/HSPG2/TMOD3/LLGL2/RPL5/RPLP0/LAP3/ANK3/ITGA2/RPS13/MSN/JUP/PLEC/ITGA3/RAI14/RRAS2/KRT8/AFAP1/TRIOBP/MYO1E/ARHGEF2/OCLN/DSG2/TNS3/RPL7A/PDZD2/BAIAP2L1/ARF6/RPS15/ARHGAP26/RPL37A/TRIP6/CLDN3/ITGA5/YWHAZ/CXADR/HSPB1/ARHGAP21/RPL27/RPL6/CNN2/RIGI/RPS10/P4HB/PPFIBP1/ADD3/SVIL/AFDN/DAG1/YBX3/AMOTL2/ACTN1/PARD6B/FLII/F11R/PPIA/PLEKHA7/RPS7/FLNA/PDLIM3/RPL38/RPL18/ADAM17/POF1B/DLG3/CORO1C/CLIC4/SNTB2/LIMA1/PARD3/WASF1/ITGB1/TLN2
18,GO:1990904,ribonucleoprotein complex,392,0.454227135,2.071814711,1.00E-10,1.83E-09,1.11E-09,1010,"tags=33%, list=16%, signal=29%",DIMT1/RPS15A/RPL22L1/RPL11/RPL30/RPS3A/RPL36/RPS27L/RPL8/RPL18A/RPL9/RPS16/RPS3/RPS14/RPS4X/IMP4/RPS23/RPL10/MVP/RPS11/MRTO4/RPL34/RPS5/RPL22/RACK1/RPL10A/RPS6/FBL/RPL26/RPS17/RPS8/RPL36A/RPL24/RPL3/NOP14/RPL19/RCL1/RPS19/ZFP36L1/WDR43/UTP11/RPL27A/ACTN4/RPL31/RPS18/RPS20/RPS24/RPS9/RPS25/RRP1/RPS2/RPL35A/PNO1/NPM1/RPL23/RPL12/RPL17/RPL7/PABPC4/RPL21/PARP4/RPL32/RPL4/RPL13A/RPL14/RPL36AL/RPL28/RPL5/RPLP0/FRG1/RPS13/PES1/FTSJ3/NOB1/LGALS3/BOP1/RPL7A/RPSA/RPS15/RPS12/RPL37A/RPL23A/RPL27/RPL6/RPL29/EMG1/SUZ12/RIGI/RPL15/RPS10/EIF3K/RPL35/TIA1/IMP3/RRS1/RPL13/RPS7/RPL38/RPL18/RRP15/TRIM21/WDR74/NOP9/EIF2A/PHF5A/NOL6/RPL7L1/BUD13/GAR1/ZFP36L2/NSA2/RPL39/RPS27/EIF1AX/UTP4/UTP6/NCL/SRP19/NOL10/DAZAP1/BMS1/NIP7/RRP1B/DHX8/LSM7/LSM1/BYSL/RPS29
19,GO:0005730,nucleolus,468,0.450638777,2.069982731,1.00E-10,1.83E-09,1.11E-09,1119,"tags=32%, list=18%, signal=28%",DIMT1/RPS15A/RPL11/RCC2/RPS3A/RPL36/PPP1CA/DDX18/RPS16/RPS3/RPS14/DDX54/RPS4X/IMP4/RPS23/RPS11/MRTO4/RPL34/RPS5/RPS6/FBL/RPL26/RPS17/RPS8/SPTBN1/RPL3/RPF2/NOP14/RPL19/RSL1D1/RCL1/RPS19/WDR43/UTP11/KRT18/RPS24/MYBBP1A/RPS9/RPS25/RRP1/PNO1/EZR/NPM1/RPL23/RPL12/RPL7/RPL4/METTL1/RPL13A/RRP12/PAK1IP1/FBLIM1/RNF213/EEF1D/RPL5/FRG1/RPS13/PES1/EXOSC2/RAI14/CC2D1A/FTSJ3/GNL3/BOP1/RPL7A/DDX55/RSL24D1/NOC3L/RPS12/SELENBP1/PLSCR1/RPL23A/CAPG/TSR1/RREB1/PUM3/RPL27/EMG1/SUZ12/NOL11/MTUS1/RPS10/SIRT1/SPATS2L/SP100/RPL35/DDX31/PYCARD/IMP3/DDX47/RRS1/RPL13/RPS7/FLNA/SCAF11/RPL18/NUB1/NOP2/DDX52/WDR74/NOP9/NPM3/TTC3/APEX1/NOL6/RPL7L1/NIFK/NFIB/GAR1/TAX1BP3/LLPH/CD2AP/TCOF1/DDX21/PWP1/SMARCA4/NSA2/ARL6IP4/RPS27/H1-5/GRWD1/UTP4/UTP6/NCL/NOP53/FHIT/NOP16/SRP19/NOL10/CDK7/NOLC1/BMS1/NIP7/RRP1B/GNAI3/BYSL/NLE1/CASP1/UTP25/NHP2/RBPJ/WDR12/NEPRO/BCL9L/PIN4/ABCC4/CCDC137/DDX56
20,GO:0005743,mitochondrial inner membrane,306,-0.510830988,-2.052152659,1.00E-10,1.83E-09,1.11E-09,1851,"tags=56%, list=30%, signal=41%",MRPS2/PAM16/ACAD11/SMDT1/MRPL34/COX6C/MRPL12/ND5/TMEM126B/PISD/MRPL32/ACAD9/TMEM177/TIMM29/CKMT2/PSEN1/TIMM13/TIMM22/MRPL33/MRPS14/MRPL2/ND2/ATP8/CCDC51/GUF1/COX5A/MCUB/MRPL13/TIMMDC1/MRPL23/SLC25A33/PET100/NDUFC2/MRPS33/MRPL42/NDUFA5/MRPS17/SPNS1/RCC1L/MRPS21/MRPL55/NDUFB1/COX4I1/ATP5MF/CHCHD1/TMEM186/APOO/NDUFA6/TIMM8A/ALDH18A1/ATP5PO/NDUFB3/TOMM40/NDUFB7/MRPS15/MRPL3/MRPL58/NDUFS4/NDUFV3/NDUFA11/MRPL43/PHB2/DNAJC19/NDUFA13/NDUFB5/TAMM41/MRPL54/FLVCR1/MRPL14/NDUFB6/ND4/CLU/NDUFB9/ATP5F1A/TMEM70/UQCC5/MCUR1/NDUFA12/MRPL21/MPC2/ATP5PF/SURF1/PPOX/ATP5MK/NDUFAB1/MRPS5/SLC41A3/MRPS35/ATP5MG/MRPS11/SLC25A4/MRPL38/CPT2/MRPL41/ATPAF1/MRPL50/BDH1/MRPL37/COX18/MTNAP1/SPHK2/UQCC2/ATP5F1D/MTX3/COQ6/SLC25A35/ECSIT/FECH/CHCHD6/MICU3/SLC25A53/SLC25A29/NDUFAF1/MRPL19/MRPL49/TMEM11/ATP5PD/GADD45GIP1/UQCC1/GHITM/MRPS30/MRPL40/COQ3/MRPS18B/PDSS2/MRPL11/MRPL51/SFXN5/MRPL27/SLC25A11/MRPL20/ATP5PB/NDUFA8/MRPL28/NDUFAF2/ETFDH/SLC25A1/MRPL1/CYP27A1/SLC25A32/MRPL4/CNP/MRPL16/SLC25A25/MRPL48/TMEM223/DNAJC30/SLC25A24/ATAD3B/L2HGDH/MRPL30/ADCK1/MRPL15/MRPL18/TMEM65/SLC25A14/SLC25A52/EXOG/ATPAF2/ABCB7/OPA1/LETMD1/CKMT1B/CDS2/PGS1/MRPL46/GPD2/SFXN1/SLC25A12/CYP2U1
