"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","dataset"
"1","GO:0022626","cytosolic ribosome",91,-0.740923091576838,2.8418509428245,1e-10,6.1125e-09,5.47368421052632e-09,2535,"tags=86%, list=20%, signal=69%","RPL26L1/RPS28/RPS9/RPL21/RPL6/RPL7A/RPS10/RPSA/RPL5/RPL30/RPL36AL/RPL13/RPL13A/RPL12/RPS5/RPL10/RPS7/RPL19/RPL8/RPS12/RPL32/RPS18/EEF1A1/RPL18/RPL7/RPLP0/RPS14/RPL27A/RPS3A/RPL4/RPL34/FAU/RPS23/RPL37/RACK1/RPL29/RPLP2/RPS6/RPS15/RPL24/RPL35/RPS20/RPS24/RPS25/UBA52/RPS2/RPL10A/RPL14/RPL38/RPL28/RPL23A/RPL36/RPL35A/RPL37A/RPL27/RPS27A/RPS8/RPS19/RPS16/RPL31/RPL39L/RPS3/RPS13/RPL18A/RPL26/RPS27/RPS11/RPL41/RPL11/RPL23/RPS15A/RPS29/RPL39/RPS27L/RPL17/RPS21/DDX3X/RPS4X","Humanislets.com bulk RNAseq"
"2","GO:0044391","ribosomal subunit",131,-0.706186349117791,2.8360049321465,1e-10,6.1125e-09,5.47368421052632e-09,2576,"tags=73%, list=20%, signal=59%","MRPL1/RPL26L1/RPS28/GADD45GIP1/RPS9/RPL21/RPL6/RPL7A/RPS10/RPSA/RPL5/RPL30/MRPL46/RPL36AL/RPL13/RPL13A/RPL12/RPS5/RPL10/RPS7/RPL19/RPL8/RPS12/RPL32/RPS18/RPL18/RPL7/RPLP0/RPS14/RPL27A/RPS3A/MRPL33/MRPL14/RPL4/RPL34/FAU/RPS23/RPL37/RACK1/RPL29/RPLP2/RPS6/RPS15/RPL24/RPL35/RPS20/RPS24/RPS25/UBA52/RPS2/RPL10A/RPL14/RPL38/RPL28/RPL23A/MRPS2/RPL36/RPL35A/RPL37A/RPL27/RPS27A/RPS8/MRPS15/MRPL22/RPS19/RPS16/MRPL11/RPL31/RPL39L/MRPS23/MRPL54/RPS3/RPS13/RPL18A/RPL26/RPS27/RPS11/RPL41/RPL11/RPL23/RPS15A/RPS29/RPL39/RPS27L/CHCHD1/RPL17/MRPL40/MRPL57/MRPL36/RPS21/MRPS18C/MRPL47/MRPL16/MRPL58/DDX3X/RPS4X","Humanislets.com bulk RNAseq"
"3","GO:0005840","ribosome",157,-0.664190382205774,2.76363873726301,1e-10,6.1125e-09,5.47368421052632e-09,2603,"tags=66%, list=21%, signal=53%","PSMA6/MRPL1/RPL26L1/RPS28/GADD45GIP1/RPS9/RPL21/RPL6/RPL7A/RPS10/SERP1/RPSA/RPL5/RPL30/MRPL46/RPL36AL/RPL13/RPL13A/RPL12/RPS5/RPL10/RPS7/RPL19/HSPA14/RPL8/RPS12/RPL32/RPS18/EEF1A1/RPL18/RPL7/RPLP0/RPS14/RPL27A/RPS3A/MRPL33/MRPL14/RPL4/RPL34/FAU/RPS23/RPL37/RACK1/RPL29/RPLP2/RPS6/EEF2/RPS15/RPL24/RPL35/RPS20/RPS24/RPS25/UBA52/RPS2/RPL10A/RPL14/RPL38/RPL28/RPL23A/MRPS2/RPL36/RPL35A/RPL37A/RPL27/RPS27A/RPL22L1/RSL24D1/RPS8/MRPS15/MRPL22/RPS19/RPS16/OAS1/MRPL11/RPL31/RPL39L/MRPS23/MRPL54/RPS3/RPS13/RPL18A/RPL26/RPS27/RPS11/RPL41/RPL11/RPL23/RPS15A/RPS29/RPL39/RPS27L/CHCHD1/RPL17/MRPL40/MRPL57/MRPL36/RPS21/MRPS18C/MRPL47/MRPL16/MRPL58/DDX3X/RPS4X","Humanislets.com bulk RNAseq"
"4","GO:0022625","cytosolic large ribosomal subunit",49,-0.765100902793394,2.61232278065928,1e-10,6.1125e-09,5.47368421052632e-09,2334,"tags=88%, list=18%, signal=72%","RPL21/RPL6/RPL7A/RPL5/RPL30/RPL36AL/RPL13/RPL13A/RPL12/RPL10/RPL19/RPL8/RPL32/RPL18/RPL7/RPLP0/RPL27A/RPL4/RPL34/RPL37/RPL29/RPLP2/RPL24/RPL35/UBA52/RPL10A/RPL14/RPL38/RPL28/RPL23A/RPL36/RPL35A/RPL37A/RPL27/RPL31/RPL39L/RPL18A/RPL26/RPL41/RPL11/RPL23/RPL39/RPL17","Humanislets.com bulk RNAseq"
"5","GO:0015934","large ribosomal subunit",83,-0.678130285668218,2.59161356273892,1e-10,6.1125e-09,5.47368421052632e-09,2576,"tags=70%, list=20%, signal=56%","MRPL1/RPL26L1/GADD45GIP1/RPL21/RPL6/RPL7A/RPL5/RPL30/MRPL46/RPL36AL/RPL13/RPL13A/RPL12/RPL10/RPL19/RPL8/RPL32/RPL18/RPL7/RPLP0/RPL27A/MRPL33/MRPL14/RPL4/RPL34/RPL37/RPL29/RPLP2/RPL24/RPL35/UBA52/RPL10A/RPL14/RPL38/RPL28/RPL23A/RPL36/RPL35A/RPL37A/RPL27/MRPL22/MRPL11/RPL31/RPL39L/MRPL54/RPL18A/RPL26/RPL41/RPL11/RPL23/RPL39/RPL17/MRPL40/MRPL57/MRPL36/MRPL47/MRPL16/MRPL58","Humanislets.com bulk RNAseq"
"6","GO:0015935","small ribosomal subunit",48,-0.747362356783338,2.54425535176865,1e-10,6.1125e-09,5.47368421052632e-09,2452,"tags=79%, list=19%, signal=64%","RPS28/RPS9/RPS10/RPSA/RPS5/RPS7/RPS12/RPS18/RPS14/RPS3A/FAU/RPS23/RACK1/RPS6/RPS15/RPS20/RPS24/RPS25/RPS2/MRPS2/RPS27A/RPS8/MRPS15/RPS19/RPS16/MRPS23/RPS3/RPS13/RPS27/RPS11/RPS15A/RPS29/RPS27L/CHCHD1/RPS21/MRPS18C/DDX3X/RPS4X","Humanislets.com bulk RNAseq"
"7","GO:1990904","ribonucleoprotein complex",428,-0.428827192153226,1.97456458560866,1e-10,6.1125e-09,5.47368421052632e-09,2463,"tags=36%, list=19%, signal=30%","SLIRP/RPS28/RNPC3/PWP2/GADD45GIP1/ZMAT5/RPS9/GAR1/RPL21/RPL6/RPL7A/RPS10/RPSA/DNTTIP2/EIF2S1/HNRNPA1/RPL5/RPL30/MRPL46/RPL36AL/RPL13/EIF3G/RPL13A/RPL12/RPS5/UTP20/RPL10/DYRK2/RPS7/NOB1/RPL19/RIOK3/PATL2/RPL8/RPS12/U2AF1/RPL32/RPS18/BCAS2/NPM1/PABPC4/RHEB/RPL18/RPL7/EIF3L/RPLP0/APOBEC3F/IMP3/RPS14/RPL27A/RPS3A/MRPL33/MRPL14/RPL4/RPL34/FAU/SF3B6/SNRPC/RPS23/LGALS3/RPL37/WDR75/RACK1/LSM11/RPL29/RPLP2/RPS6/EEF2/RIOK2/NSA2/UTP4/RPS15/RPL24/RPL35/RPS20/RPS24/RPS25/UBA52/RPS2/RPL10A/EIF3C/RPL14/RPL38/RPL28/RPL23A/MRPS2/RPL36/RPL35A/RPL37A/RPL27/RPS27A/SLX9/RPL22L1/RBMS1/EIF3D/RPS8/MRPS15/FBL/MRPL22/RPS19/RPS16/MRPL11/RPL31/RPL39L/PPAN/SNRPE/MRPS23/MRPL54/RPS3/RPS13/RPL18A/SNRNP25/AGO4/RPL26/RPS27/RPS11/RPL41/RPL11/RPL23/ZNHIT3/EIF3M/RPS15A/MVP/RPS29/RPL39/RPS27L/SNRPD2/CHCHD1/UTP23/RPS19BP1/RPL17/EIF3E/SNRPG/MRPL40/LSM3/MRPL57/NEAT1/RCL1/LSM6/MRPL36/RPS21/ZFP36L1/UTP14A/MRPS18C/LSM5/MRPL47/MRPL16/MRPL58/DIMT1/DHX37/PIN4/NOP10/CWF19L2/DDX3X/RPS4X","Humanislets.com bulk RNAseq"
"8","GO:0031966","mitochondrial membrane",485,-0.386611724245042,1.8053763021567,1e-10,6.1125e-09,5.47368421052632e-09,2427,"tags=31%, list=19%, signal=26%","COX14/GADD45GIP1/NDUFAF2/PMAIP1/ACSL4/TAMM41/IKBKE/FIS1/SMIM26/SLC25A43/PPP2R2B/COX7A2/TYMS/PET100/MRPL46/ROMO1/CYB5B/RTN4IP1/LYN/TMEM126B/UQCRH/TMEM223/SLC25A48/MICOS13/TOMM7/MAOA/TSPO/CASP8/MRPL33/MCL1/NDUFAF4/MRPL14/NDUFA11/NDUFB9/ATP5PO/COX6C/LGALS3/COA8/SOX10/AKAP1/SHMT2/TOMM20L/GRPEL2/HKDC1/ABCB10/HK2/HIGD1A/UQCC2/PRODH2/PLAAT3/UBA52/DMAC1/ATP5MK/NDUFB6/FLVCR2/UQCRQ/MRPS2/NDUFS5/ATP5MJ/IMMP2L/SMIM30/TIMM8A/NDUFA1/NDUFA6/RPS27A/NOA1/MRPS15/SLC25A21/MRPL22/ATP5ME/MRPL11/COX5B/TMEM14A/SLC25A5/PLEKHN1/NDUFB2/SLC25A26/BBC3/ATP5PF/MRPS23/MRPL54/RPS3/COX7B/MTFP1/CYP2E1/ATP5F1E/GSDMD/PLA2G2A/UQCRB/RNF5/CRAT/HINT2/VAMP1/COX6A1/NDUFA9/NDUFS4/ARMC10/SLC30A2/CHCHD1/CPT1A/SLC29A3/FZD9/SMDT1/MRPL40/MRPL57/NDUFC2/UQCR11/MGST3/RHBDD1/LDHB/TMEM126A/MRPL36/SLC25A15/SLC25A37/NDUFA4/TMEM70/BMF/MRPS18C/SLC8B1/MRPL47/COX7C/MRPL16/CKMT1A/UQCR10/TIGAR/ATP5MG/TOMM5/UQCC3/MRPL58/NDUFA2/IFI6/DNAJC15/PIGBOS1/PPIF/ATP5MF/BNIP3/KGD4/ASS1/BCL2A1/BID/SDHA/DNAJC19/TIMM8B/CHDH/SLC11A2/MGST1/SMIM20/SQOR/SORD","Humanislets.com bulk RNAseq"
"9","GO:0019866","organelle inner membrane",339,-0.419538041796483,1.87873282039918,1.39725000278693e-10,7.59172501514233e-09,6.79831580303349e-09,2241,"tags=31%, list=18%, signal=26%","SLC25A43/COX7A2/TYMS/PET100/MRPL46/ROMO1/LYN/TMEM126B/SMAD3/UQCRH/TMEM223/SLC25A48/MICOS13/TERB1/MRPL33/DPY19L2/NDUFAF4/MRPL14/NDUFA11/NDUFB9/ATP5PO/COX6C/LGALS3/COA8/SHMT2/GRPEL2/ABCB10/HIGD1A/TM7SF2/UQCC2/PRODH2/NEMP1/DMAC1/ATP5MK/NDUFB6/UQCRQ/MRPS2/NDUFS5/ATP5MJ/IMMP2L/TIMM8A/NDUFA1/NDUFA6/NOA1/MRPS15/SLC25A21/MRPL22/ATP5ME/MRPL11/COX5B/SLC25A5/NDUFB2/SLC25A26/ATP5PF/MRPS23/MRPL54/RPS3/COX7B/MTFP1/CYP2E1/ATP5F1E/LMNB1/UQCRB/CRAT/COX6A1/NDUFA9/NDUFS4/SLC30A2/CHCHD1/TMPO/SMDT1/MRPL40/MRPL57/NDUFC2/UQCR11/LDHB/TMEM126A/MRPL36/SLC25A15/ERN1/SLC25A37/NDUFA4/TMEM70/MRPS18C/SLC8B1/MRPL47/COX7C/MRPL16/CKMT1A/UQCR10/ATP5MG/UQCC3/MRPL58/NDUFA2/IFI6/DNAJC15/PPIF/ATP5MF/KGD4/SDHA/DNAJC19/TIMM8B/CHDH/SMIM20/SQOR","Humanislets.com bulk RNAseq"
"10","GO:0022627","cytosolic small ribosomal subunit",35,-0.790557834408249,2.48747644811582,2.73186810544554e-10,1.21443954869352e-08,1.08751878647402e-08,2452,"tags=94%, list=19%, signal=76%","RPS28/RPS9/RPS10/RPSA/RPS5/RPS7/RPS12/RPS18/RPS14/RPS3A/FAU/RPS23/RACK1/RPS6/RPS15/RPS20/RPS24/RPS25/RPS2/RPS27A/RPS8/RPS19/RPS16/RPS3/RPS13/RPS27/RPS11/RPS15A/RPS29/RPS27L/RPS21/DDX3X/RPS4X","Humanislets.com bulk RNAseq"
