"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"1","GO:0030672","synaptic vesicle membrane",84,-0.685543984767374,-2.44629343557424,1e-10,3.23846153846154e-09,2.04858299595142e-09,1059,"tags=60%, list=17%, signal=50%","BORCS5/STX16/SLC17A5/VTI1A/ATM/SLC18B1/ATP6V1G1/SVOP/SLC4A8/ATP6AP2/SLC35D3/SYT7/RAB3B/SYN1/WFS1/SYNGR3/BSN/DYSF/STX12/SYT4/ATP6AP1/BIN1/RAB26/SCAMP1/SLC17A6/RAB3A/ANP32E/DMXL2/DNAJC5/DNM1L/CLCN3/ATP6V0D1/ATP6V0A1/ATP6V1B1/ATP8A1/SLC6A17/GAD2/SV2A/ATP6V1H/SYP/ABCC8/AMPH/STX1A/MCTP2/TPRG1L/ATP6V1B2/ATP6V1D/ATP6V1E1/ATP6V1C1/ATP6V1A"
"2","GO:0099501","exocytic vesicle membrane",84,-0.685543984767374,-2.44629343557424,1e-10,3.23846153846154e-09,2.04858299595142e-09,1059,"tags=60%, list=17%, signal=50%","BORCS5/STX16/SLC17A5/VTI1A/ATM/SLC18B1/ATP6V1G1/SVOP/SLC4A8/ATP6AP2/SLC35D3/SYT7/RAB3B/SYN1/WFS1/SYNGR3/BSN/DYSF/STX12/SYT4/ATP6AP1/BIN1/RAB26/SCAMP1/SLC17A6/RAB3A/ANP32E/DMXL2/DNAJC5/DNM1L/CLCN3/ATP6V0D1/ATP6V0A1/ATP6V1B1/ATP8A1/SLC6A17/GAD2/SV2A/ATP6V1H/SYP/ABCC8/AMPH/STX1A/MCTP2/TPRG1L/ATP6V1B2/ATP6V1D/ATP6V1E1/ATP6V1C1/ATP6V1A"
"3","GO:0008021","synaptic vesicle",122,-0.616893843730439,-2.32607822360489,1e-10,3.23846153846154e-09,2.04858299595142e-09,1197,"tags=53%, list=20%, signal=44%","BORCS5/STX16/SLC17A5/STXBP5/TMED9/VTI1A/NDEL1/ATM/SLC18B1/ATP6V1G1/SVOP/VTI1B/SLC4A8/ATP6AP2/SLC35D3/SYT7/RAB3B/SYN1/WFS1/RAB40C/SYNGR3/BSN/DYSF/STX12/SYT4/ATP6AP1/SNAP25/TRIM9/BIN1/CLCN4/RAB26/SCAMP1/SLC17A6/RAB3A/ANP32E/DMXL2/SEPTIN5/DNAJC5/DNM1L/CLCN3/SNAP91/ATP6V0D1/ATP6V0A1/CACFD1/ATP6V1B1/ATP8A1/ROGDI/AP3S2/SLC6A17/GAD2/SV2A/ATP6V1H/SYP/ABCC8/AMPH/RAB12/STX1A/MCTP2/TPRG1L/ATP6V1B2/ATP6V1D/ATP6V1E1/ATP6V1C1/STX3/ATP6V1A"
"4","GO:0005759","mitochondrial matrix",325,-0.544230836012497,-2.31503178758049,1e-10,3.23846153846154e-09,2.04858299595142e-09,1252,"tags=43%, list=20%, signal=36%","VDAC2/NDUFAF1/ME3/MRPL57/SIRT3/MRPS14/MTERF4/ATP5PB/MRM1/NDUFAF7/NIPSNAP1/MRPS12/MRPS5/ADHFE1/LIAS/PDK2/MRPL43/LARS2/WARS2/TMLHE/NDUFAB1/MTNAP1/MTHFS/TRIT1/MRPL11/PDPR/ECHS1/TK2/ACACB/MRPS28/PDK4/ACOT13/MRPS33/DHTKD1/ACP6/EARS2/MRPS10/TXN2/SARS2/FASTKD3/MRPL13/DECR1/ACSF3/MRPL37/MRPL30/DARS2/NSUN4/MRPS23/MECR/MCCC2/D2HGDH/ABHD10/DGLUCY/FECH/MRPL18/RPUSD4/MRPL40/DBT/HAGH/ALDH4A1/METTL15/TBRG4/HSD17B8/IVD/MRPS15/TEFM/OAT/MRPL58/MRPL51/FARS2/OGDHL/NARS2/MRPL55/PRDX3/MRPS30/LIPT2/DNAJA3/CBR4/GUF1/MRPL16/NUDT2/MRPS17/MRPS24/CYP27A1/ISCA1/GRSF1/PDHB/RARS2/AK3/MRPL28/MRPS2/MARS2/MRPL1/MRPS35/ACADM/MRPL48/TTC5/DDX28/GLS2/IDH3G/PARS2/MRPL15/NFS1/NFU1/ACAT1/DLAT/NIPSNAP2/MRPL3/PYCR2/ME2/ACAD8/MRPL19/CHPF/MRPL20/AASS/IDH3A/MRPL46/ABAT/ACADSB/HIBADH/HARS2/MRPL38/PDK1/BCKDHA/LRPPRC/PDHX/YARS2/PDHA1/OXCT1/BCAT2/DGUOK/SUCLA2/GCDH/GFM1/GFM2/PPM1K/BDH1/ARG2/PC/HADH"
"5","GO:0070382","exocytic vesicle",130,-0.610771343615716,-2.3064793846479,1e-10,3.23846153846154e-09,2.04858299595142e-09,1197,"tags=52%, list=20%, signal=42%","BORCS5/STX16/SLC17A5/STXBP5/TMED9/VTI1A/NDEL1/ATM/SLC18B1/ATP6V1G1/SVOP/VTI1B/SLC4A8/ATP6AP2/SLC35D3/SYT7/RAB3B/SYN1/WFS1/RAB40C/SYT17/SYNGR3/BSN/DYSF/STX12/SYT4/ATP6AP1/SNAP25/TRIM9/BIN1/CLCN4/RAB26/SCAMP1/SLC17A6/RAB3A/ANP32E/DMXL2/SEPTIN5/DNAJC5/SYT13/DNM1L/CLCN3/SNAP91/ATP6V0D1/ATP6V0A1/CACFD1/ATP6V1B1/ATP8A1/ROGDI/AP3S2/SLC6A17/GAD2/SV2A/ATP6V1H/SYP/ABCC8/AMPH/RAB12/STX1A/MCTP2/TPRG1L/ATP6V1B2/ATP6V1D/ATP6V1E1/ATP6V1C1/STX3/ATP6V1A"
"6","GO:0098793","presynapse",265,-0.507391186035617,-2.11595452979862,1e-10,3.23846153846154e-09,2.04858299595142e-09,1059,"tags=40%, list=17%, signal=34%","ATM/PHB2/SLC18B1/ATP6V1G1/P2RY1/GRIPAP1/SVOP/VTI1B/SLC4A8/ATP6AP2/FBXO45/SLC35D3/DNM1/SYT7/PTPRN/CDH2/ZNRF2/SPTBN2/RAB3B/SLC2A1/SYN1/SLC8A2/WFS1/SMCR8/CACNA2D1/RAB40C/SNCB/BAIAP2/CANX/SYNGR3/PFN2/BSN/RAB33B/CACNA2D2/DYSF/STX12/GNAO1/SYT4/ATP6AP1/SNAP25/GDI1/TRIM9/BIN1/ARHGAP44/CLCN4/DNAJC6/C9orf72/RAB26/SCRN1/SH3GL2/SCAMP1/SLC17A6/RAB3A/ANP32E/DMXL2/SEPTIN5/CALB1/DNAJC5/SLC29A1/PCLO/DNM1L/KCNJ11/CLCN3/ZDHHC17/SNAP91/ATP6V0D1/NPTX2/ATP6V0A1/PRAF2/CACFD1/ATP6V1B1/CADPS/SLC4A10/ATP8A1/ROGDI/AP3S2/SLC6A17/PCSK1/LIN7A/NAPA/SEPTIN3/GAD2/CALB2/SCGN/LRFN2/SV2A/ATP6V1H/SYP/ABCC8/KIF21A/AMPH/RAB12/STX1A/MCTP2/LIN7B/TPRG1L/ATP6V1B2/ATP6V1D/ATP6V1E1/ATP6V1C1/STX3/STXBP1/ATP6V1A/SYNJ1/CASR"
"7","GO:0030055","cell-substrate junction",267,0.522559917687811,2.09384791917323,1e-10,3.23846153846154e-09,2.04858299595142e-09,1263,"tags=40%, list=21%, signal=34%","FBLIM1/HSPB1/CNN3/ADAM10/BSG/SNAP23/MARCKS/WASF1/PFN1/ACTN1/LIMD1/NUMB/TES/CDC42EP1/ZYX/PDLIM1/SDC4/MISP/SORBS1/ERBIN/VASP/FAP/FLII/ARPC1B/CD44/LPP/ENAH/LCP1/MAP4K4/BCAR1/ITGA3/SVIL/FLNB/B2M/PDLIM7/TRIP6/ACTN4/RPL38/HSPG2/LAP3/CTNNA1/RPLP2/EPPK1/ITGA2/SORBS2/LASP1/FLNA/EGFR/LIMA1/EZR/LMO7/IL1RL1/CFL1/RPLP1/MSN/PLEC/RPL12/MYH9/FLOT2/YWHAZ/ITGB6/PTPN12/HMGA1/TRIOBP/PXN/RRAS/RRAS2/AHNAK/ARF6/ADAM9/CAPN2/JUP/PPIA/TGM2/PACSIN2/CD59/ITGB8/ZNF185/GNB2/ARHGEF2/PPFIBP1/ITGB5/RPL30/SDCBP/CD81/PIP5K1A/CNN2/RPL23/RPS19/CORO1C/FLNC/RPL37A/ADD1/NPM1/TWF1/RAC2/RPS14/RPS29/CAT/CAPN5/ITGAV/NRP1/RPL9/RPS16/ITGA5/PPP1CC/ITGB1/ARHGAP24"
"8","GO:0005925","focal adhesion",263,0.520001752488753,2.08298302659143,1e-10,3.23846153846154e-09,2.04858299595142e-09,1263,"tags=40%, list=21%, signal=33%","FBLIM1/HSPB1/CNN3/ADAM10/BSG/SNAP23/MARCKS/WASF1/PFN1/ACTN1/LIMD1/NUMB/TES/CDC42EP1/ZYX/PDLIM1/SDC4/MISP/SORBS1/VASP/FAP/FLII/ARPC1B/CD44/LPP/ENAH/LCP1/MAP4K4/BCAR1/ITGA3/SVIL/FLNB/B2M/PDLIM7/TRIP6/ACTN4/RPL38/HSPG2/LAP3/CTNNA1/RPLP2/ITGA2/SORBS2/LASP1/FLNA/EGFR/LIMA1/EZR/LMO7/IL1RL1/CFL1/RPLP1/MSN/PLEC/RPL12/MYH9/FLOT2/YWHAZ/ITGB6/PTPN12/HMGA1/TRIOBP/PXN/RRAS/RRAS2/AHNAK/ARF6/ADAM9/CAPN2/JUP/PPIA/TGM2/PACSIN2/CD59/ITGB8/ZNF185/GNB2/ARHGEF2/PPFIBP1/ITGB5/RPL30/SDCBP/CD81/PIP5K1A/CNN2/RPL23/RPS19/CORO1C/FLNC/RPL37A/ADD1/NPM1/TWF1/RAC2/RPS14/RPS29/CAT/CAPN5/ITGAV/NRP1/RPL9/RPS16/ITGA5/PPP1CC/ITGB1/ARHGAP24"
"9","GO:0015629","actin cytoskeleton",252,0.521228294901261,2.07709153760109,1e-10,3.23846153846154e-09,2.04858299595142e-09,779,"tags=33%, list=13%, signal=30%","FBLIM1/LUZP1/TAX1BP3/DBN1/CNN3/PDLIM3/MARCKS/TWF2/WASF1/CGN/ACTN1/SH3PXD2B/GBP1/MYL6/SEPTIN9/ZYX/PDLIM4/PDLIM1/MISP/SORBS1/CAPG/VASP/TJP1/PLS3/AKAP13/FLII/ARPC1B/DAPK1/LPP/LCP1/CTTNBP2/KRT19/ARHGAP21/PLS1/LLGL2/BCAR1/SVIL/FLNB/PDLIM7/TRIP6/ACTN4/TMOD3/MICAL2/MYH14/CTNNA1/SHROOM3/LAD1/INF2/SPECC1/TPM1/SORBS2/BAIAP2L1/LASP1/CDH1/FLNA/LIMA1/EZR/LIMD2/SPTBN1/CFL1/PLEC/MYH9/FLOT2/PTPN12/RAI14/TRIOBP/MYO5B/PXN/SYNPO/AHNAK/POF1B/COBL/MYL12B/CAPN2/CRYAB/CRK/PDLIM5/MYO1E/NPM3/VIL1/MYO5C/TAGLN2/IQGAP2"
"10","GO:0005743","mitochondrial inner membrane",306,-0.483666554711624,-2.05274378591429,1e-10,3.23846153846154e-09,2.04858299595142e-09,1251,"tags=34%, list=20%, signal=28%","NDUFAF1/MRPL57/ATP5PD/CKMT1B/MRPS14/SLC25A4/ATP5PB/SLC25A42/COX1/NDUFB11/MRPS12/MRPS5/RCC1L/MRPL43/NDUFAB1/MTNAP1/MCUR1/PHB2/TOMM40/TMEM11/EXOG/MRPL11/SURF1/MPC2/MRPS28/MRPS33/ATP5PO/MRPS10/ACAD9/MRPL13/CDS2/OMA1/ABCB8/SLC25A52/TMEM177/SLC25A40/ADCK1/MRPL37/MRPL30/TIMM8A/MRPS23/FECH/SFXN5/MRPL18/MRPL40/COX15/SLC25A24/DMAC2L/SLC25A11/TMEM65/MRPS15/GCAT/ACAD11/DNAJC30/MRPL58/MRPL51/NNT/MRPL55/MRPS30/GUF1/MRPL16/MRPS17/MRPS24/CYP27A1/MRPL28/MRPS2/ALDH18A1/MRPL1/SFXN1/SLC25A53/MRPS35/MRPL48/ND4/SLC25A25/SLC25A1/MRPL15/SLC25A14/GPD2/DHODH/MRPL3/PGS1/SLC25A29/MRPL19/MRPL20/UQCC1/CPT2/OPA1/SLC25A21/SLC25A12/GHITM/MRPL46/PPOX/ATPAF2/ABCB7/MRPL38/L2HGDH/COQ6/COQ3/LETMD1/ETFDH/BDH1/CYP2U1/CNP"
"11","GO:0070161","anchoring junction",458,0.47938837863726,2.0069633564895,1e-10,3.23846153846154e-09,2.04858299595142e-09,864,"tags=32%, list=14%, signal=30%","FBLIM1/DBN1/TJP2/HSPB1/CNN3/TNKS1BP1/ADAM10/BSG/PDLIM3/SNAP23/MARCKS/LSR/WASF1/CGN/PFN1/STXBP6/S100A11/ACTN1/LIMD1/SH3PXD2B/MAGI1/ANXA2/NUMB/TES/CDC42EP1/TJP3/ZYX/PDLIM4/CLDN1/PDLIM1/RAB13/PKP3/CTNND1/SDC4/MISP/SORBS1/ERBIN/CLDN3/VASP/DSG2/TJP1/FAP/FLII/ARPC1B/PPP1CA/CADM4/PTPRK/CD44/LPP/ENAH/LCP1/MAP4K4/ARHGAP21/LLGL2/OCLN/BCAR1/ITGA3/SVIL/FLNB/B2M/PDLIM7/TRIP6/ACTN4/TMOD3/RPL38/HSPG2/LAP3/CTNNA1/SHROOM3/LYN/RPLP2/YAP1/EPPK1/ITGA2/SORBS2/AFDN/BAIAP2L1/LASP1/CDH1/PDZD11/FLNA/EGFR/LIMA1/EZR/YBX3/LMO7/IL1RL1/STRN/CFL1/RPLP1/MSN/KRT8/PLEC/RPL12/KRT18/MYH9/FLOT2/YWHAZ/PRKD1/ITGB6/PTPN12/RAI14/PRKCI/HMGA1/TRIOBP/PXN/RRAS/RRAS2/EVPL/SYNPO/CAMSAP3/ANK3/AHNAK/NDRG1/POF1B/ARF6/ADAM9/CEACAM1/CAPN2/DSP/JUP/PCDH1/CXADR/PPIA/TGM2/PACSIN2/KDF1/PDLIM5/CD59/MYO1E/ITGB8/ZNF185/CRB3/GNB2/ARHGEF2/F11R/PPFIBP1/ITGB5/PLEKHA7/RPL30/SDCBP/PARD3/CD2AP/PARD6B/CD81/PIP5K1A/CNN2"
"12","GO:0019866","organelle inner membrane",331,-0.459344108984739,-1.95895282406815,1e-10,3.23846153846154e-09,2.04858299595142e-09,842,"tags=24%, list=14%, signal=21%","ACAD9/MRPL13/CDS2/ERN1/OMA1/ABCB8/SLC25A52/TMEM177/SLC25A40/ADCK1/MRPL37/MRPL30/TIMM8A/FAM169A/MRPS23/FECH/SFXN5/MRPL18/MRPL40/COX15/SLC25A24/DMAC2L/SLC25A11/TMEM65/MRPS15/GCAT/ACAD11/DNAJC30/MRPL58/MRPL51/NNT/MRPL55/MRPS30/GUF1/MRPL16/MRPS17/MRPS24/CYP27A1/MRPL28/MRPS2/ALDH18A1/MRPL1/SFXN1/SLC25A53/MRPS35/MRPL48/ND4/SLC25A25/SLC25A1/MRPL15/SLC25A14/GPD2/DHODH/MRPL3/PGS1/SLC25A29/MRPL19/MRPL20/UQCC1/CPT2/OPA1/SLC25A21/SLC25A12/GHITM/MRPL46/PPOX/ATPAF2/ABCB7/MRPL38/L2HGDH/LRPPRC/COQ6/COQ3/LETMD1/ETFDH/BDH1/CYP2U1/CNP"
"13","GO:0031966","mitochondrial membrane",456,-0.418577657023019,-1.84896743074107,1e-10,3.23846153846154e-09,2.04858299595142e-09,842,"tags=24%, list=14%, signal=22%","ACAD9/AFG1L/MRPL13/CISD1/CDS2/OMA1/ABHD6/ABCB8/SLC25A52/TMEM177/SLC25A40/ADCK1/MTCH1/NME3/MRPL37/MRPL30/DARS2/TIMM8A/CCDC90B/MRPS23/CANX/FECH/SFXN5/MRPL18/MRPL40/ANGEL1/COX15/SLC25A24/MFN2/DMAC2L/SLC25A11/TMEM65/MRPS15/PRKCA/GCAT/HMOX1/ACAD11/DNAJC30/MRPL58/SLC25A46/MRPL51/NNT/MRPL55/MRPS30/GUF1/MRPL16/ACSL1/TMEM135/MRPS17/MRPS24/MTERF3/CYP27A1/DNM1L/ARMC1/RARS2/MRPL28/MRPS2/ALDH18A1/MRPL1/SFXN1/MTFR1L/SLC25A53/MRPS35/ACADM/MRPL48/ARMCX3/MIEF1/ARMCX1/ND4/SLC25A25/ARMCX2/SLC25A1/VAT1/SARM1/MRPL15/SLC25A14/GPD2/DHODH/MTCH2/NIPSNAP2/MRPL3/PGS1/SLC25A29/ABCB6/MRPL19/MRPL20/UQCC1/CPT2/OPA1/SLC25A21/SLC25A12/GHITM/MRPL46/PPOX/PNPLA8/ATPAF2/ABCB7/SLC30A9/MRPL38/L2HGDH/GDAP1/COQ6/COQ3/LETMD1/RHOT1/ETFDH/BDH1/CYP2U1/CNP"
