"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"638","GO:0120254","olefinic compound metabolic process",61,-0.369622213368399,1.4282533336607,0.0304057862258388,0.238487824588343,0.210968529306741,1330,"tags=44%, list=22%, signal=35%","ABCD1/SCP2/RDH10/PTGS1/DAGLA/ACAA1/ALDH1A3/DHRS3/ADH1B/CACNA1H/DHRS4/AKR1C2/PRKG1/SDR9C7/GSTA1/PNPLA8/ALOX5/PNLIP/EPHX1/DAGLB/PLA2G4A/RDH12/FADS2/ACOT8/PTGS2/FAAH/ADH1C"
"639","GO:0045017","glycerolipid biosynthetic process",123,-0.301390348572455,1.30968284130585,0.0305446445333193,0.238943158425993,0.211371321819266,640,"tags=19%, list=10%, signal=17%","PLCG2/FABP5/INPP1/LPCAT1/ITPKC/FITM2/ACP6/PIGA/LPIN1/C3/PTEN/DAGLB/PLA2G4A/INPP5E/TAMM41/PTPMT1/LDLR/PLD1/SH3YL1/SLC44A2/INPP5F/INPP5K/PLSCR1"
"640","GO:0048589","developmental growth",223,0.340636475589352,-1.29834636018234,0.0306681270536692,0.239276125851451,0.211665867874929,1101,"tags=26%, list=18%, signal=22%","FSTL4/FKBP8/ARX/LIN7A/KDF1/GHRL/ABL1/ADAM15/SYT17/MECP2/SMPD3/GNAS/RBPJ/SELENON/HNF1B/STAT3/PROX1/WWC1/CPQ/MDK/PTGFRN/MEGF8/SPG21/MAPT/PYGO2/TMEM38B/CYFIP2/CDKN1B/LIN7B/PSAP/MCUB/WDTC1/ATM/MYCBP2/SPART/ATF2/SCAPER/TGFB1/YY1/VPS54/MACF1/CACNA2D2/ANAPC2/GDI1/PLEKHA1/MEIS1/TIAM1/ATN1/TNR/RAI1/CDK5/DVL1/ARIH2/TAF8/PPP3CB/RBP4/VIL1"
"641","GO:0099568","cytoplasmic region",84,0.38398210959157,-1.32647343291406,0.0728155339805825,0.23949484223301,0.187428142565151,2230,"tags=52%, list=36%, signal=34%","TRAK1/DTNBP1/DYNC2LI1/MAPT/CLTB/KIF3A/MAP4/CAMSAP3/WDR35/KIF3B/MAP1A/AP3B2/STAU2/MAPK8IP3/PQBP1/AGTPBP1/KIF5C/IFT172/SNAPIN/BSN/KIF5A/CALY/UCHL1/DST/DCDC2/STXBP1/OPA1/KIF21A/BLOC1S2/BLOC1S1/MYO5B/SYBU/DYNLL1/DYNC2H1/AP3M2/AP3S1/CLTA/ABHD13/KIFAP3/CTNND1/MAP2/KIF1A/BLOC1S3/UNC13B"
"642","GO:0042129","regulation of T cell proliferation",57,-0.366003684574222,1.39463722247908,0.0308286378616037,0.2398954793599,0.212213753701067,1165,"tags=42%, list=19%, signal=34%","SLC4A2/TNFRSF21/CEBPB/ARG2/HLA-E/IL18/SLC7A1/CORO1A/LGALS3/FADD/DHPS/SYK/PNP/RIPK2/PTPRC/RPS3/ANXA1/EFNB1/HLA-DRB1/MAPK8IP1/NCK2/IL6ST/SELENOK/IL4I1"
"643","GO:0005768","endosome",465,0.294090428835253,-1.17554966707471,0.0739219712525667,0.241249224010315,0.188801117927812,1786,"tags=36%, list=29%, signal=28%","SCOC/OSBPL6/TRAK1/MCOLN3/DOP1B/RNF13/GGA2/KIF16B/SYT5/TPCN1/DTNBP1/HTT/RAPGEF2/ANKRD13A/RAP1GAP/SDF4/CD14/LAMTOR4/LAMTOR2/AP1AR/RAB3A/BIRC6/RAP1A/ANK2/ARHGAP1/PTPRN/M6PR/CLCN4/CYBA/MYO1D/LLGL1/STARD3/ANP32E/VAMP3/TMEM9B/SORT1/CTSB/SPG21/STS/NCDN/ELAPOR1/CHMP4B/GOLIM4/TRAPPC2/MICAL1/CDKN1B/TOM1L2/CHMP4A/USP8/TPP1/PACSIN1/STX8/PSAP/ABCA5/BET1L/TAB3/SNX18/OCRL/TFRC/UBE2A/HMGB1/INPP4A/F8A2/LAMTOR1/OSBPL9/ABHD6/TOM1/CHMP2B/MAGI2/ACAP2/WASHC2A/AP3B2/MGRN1/VPS26B/ACAP1/ATP6V0A2/MAGEL2/SNX8/ATG9A/FKBP15/RAPGEF1/TJAP1/LZTR1/UBXN6/LMTK2/RAB23/SCAMP3/SNX11/RAB11FIP2/LAMTOR3/VPS37A/VTI1A/VPS13C/STAM2/VAMP4/RAB3C/ZNRF2/TMEM63B/MICALL2/HPS3/WDFY1/ENTR1/SCAMP1/ABCA2/KIAA0319/CDIP1/TNIK/TMEM184A/ATP9A/GRIPAP1/PPP1R21/RAB4B/PI4KB/CDH1/EIPR1/RAB3D/DYNC1I1/KIF13A/ANKRD13D/AGAP1/CALY/ZFYVE16/TRIM3/WIPF3/ATP6V0A1/EPN2/ZDHHC2/PTP4A2/AP1G2/PLIN3/PLD3/RAB40C/B2M/DYNC1LI2/MYO5A/IRAK4/UBAP1/TOLLIP/FCHSD1/VPS37C/ATP13A2/TRAPPC6B/TBCK/AP4E1/SNX12/VPS25/GATD1/RIPK1/TMEM230/TAB2/TBC1D12/DOP1A/TRAPPC14/BLOC1S1/UNC93B1/RUSC1/ATP6V1F/LDLRAP1/MYO5B/VPS13B/ABCA3/GPR107/CHMP5/SH3GL2/SBF2/VAMP8/MAP1LC3A"
"644","GO:0071011","precatalytic spliceosome",28,0.49616406158034,-1.41487723995473,0.0751043115438109,0.243222424307264,0.190345340187958,1399,"tags=36%, list=23%, signal=28%","WBP4/MFAP1/RNF113A/SNRPE/SF3B4/CWC27/SNU13/LSM6/SNRPD1/RBMX2"
"645","GO:0019888","protein phosphatase regulator activity",44,0.436783488307471,-1.3770546945752,0.064388961892247,0.244201099917263,0.195802691134319,1069,"tags=27%, list=17%, signal=23%","PPP6R2/PPP1R2/PPP1R14B/PPP1R9B/SET/RCAN3/PHACTR4/PPP1R14C/CALM1/LMTK2/PPP2R5B/CABIN1"
"646","GO:1905168","positive regulation of double-strand break repair via homologous recombination",19,0.586484752892498,-1.53758076184681,0.0315945380612608,0.244459029844133,0.21625071255101,1452,"tags=58%, list=24%, signal=44%","MRGBP/EP400/DMAP1/WRAP53/CREBBP/MORF4L2/MEAF6/BRD8/FUS/HDGFL2/EPC2"
"647","GO:0010827","regulation of D-glucose transmembrane transport",28,-0.465431488703396,1.5290639228645,0.0315959712905189,0.244459029844133,0.21625071255101,898,"tags=46%, list=15%, signal=40%","SELENOS/GRB10/STXBP4/CLIP3/APPL2/PIK3R1/ENPP1/FABP5/ACE/PLA2G1B/AKT1/C3/INPP5K"
"648","GO:0046718","symbiont entry into host cell",72,-0.324071773862852,1.29492093824015,0.0316631073487666,0.244459029844133,0.21625071255101,835,"tags=25%, list=14%, signal=22%","ITGAV/RPSA/EPHA2/CBL/LGALS1/ITGB1/P4HB/HLA-DRB1/BSG/ICAM1/TRIM22/LDLR/NRP1/XPR1/ITGA5/PLSCR1/NPC1/CAV1"
"649","GO:0043539","protein serine/threonine kinase activator activity",17,0.56323688674809,-1.44738435020741,0.065123010130246,0.245168979313867,0.196578745749195,1224,"tags=35%, list=20%, signal=28%","CCDC88A/TAOK2/TGFB1/CALM1/RICTOR/MOB1B"
"650","GO:0016323","basolateral plasma membrane",93,-0.295808923914102,1.22553156991982,0.0765331879591427,0.245957802525184,0.19248604123111,439,"tags=26%, list=7%, signal=24%","CLDN1/SLC30A1/SLC7A1/NDRG4/SLC16A1/ENPP1/PALM/ITGA3/SLC39A14/CNNM2/SLCO2A1/AQP1/PLPP3/SLC16A10/ANXA1/BSG/LDLR/SLC26A11/ANXA2/ANK3/CAV1/ATP1B3/SLC2A1/ABCC4"
"651","GO:0120035","regulation of plasma membrane bounded cell projection organization",265,0.334129099182674,-1.29551866435263,0.0319829424307036,0.246285314498934,0.217866260801257,1364,"tags=30%, list=22%, signal=24%","ROBO2/FSTL4/ABL1/TRAK1/AMIGO1/NEGR1/HECW2/SRCIN1/SERPINI1/CCDC88A/DTNBP1/HTT/RAPGEF2/RAP1GAP/DYNC2LI1/RREB1/RAP1A/PLXNB1/ABI3/CERS2/ARMCX5-GPRASP2/ENPP2/MDK/PAX6/CAMK2B/CDC42EP3/MEGF8/ATG3/MAPT/APC/MIEN1/PACSIN1/MYCBP2/DNM3/ARAP1/MAP4/GLA/SPART/PTPRF/ROR2/MAGI2/MACF1/ANAPC2/STAU2/PFN2/BRK1/CUX1/RAPGEF1/VLDLR/GDI1/TIAM1/TNR/ITM2C/CDK5/DVL1/RAB3IP/PQBP1/PPP2R5B/KDM1A/CEP97/DOCK11/VIL1/METRN/ATF1/PTK2B/ENTR1/CIB1/KIAA0319/IFT20/TNIK/CRABP2/FAM98A/SNAPIN/SPP1/CRKL/DMTN/CDH1/CDC42EP4/SPOCK1"
