"","Row.names","logFC","AveExpr","t","P.Value","adj.P.Val","common_name"
"1",100,0.332583690985674,-1.36944644134841,2.86470674435069,0.00521730721549178,0.0468184673811236,"ADA"
"2",1000,-0.129932341035537,-0.125976955440498,-1.0350873316614,0.303460349908143,0.53245041749451,"CDH2"
"3",10000,-0.239528092910756,0.284606478721137,-2.10557361755444,0.0380866692705647,0.152068146115175,"AKT3"
"4",10001,0.139404181780713,-2.30572624836659,1.03412403744877,0.303907866530266,0.532815334122472,"MED6"
"5",10005,0.0367232226901341,-0.534200111303148,0.328156187993743,0.74357203121424,0.87149992888925,"ACOT8"
"6",10007,-0.268174565145199,2.95086275094742,-3.125397490853,0.00240470954612885,0.0313378072062397,"GNPDA1"
"7",10009,-0.0349005264324562,-3.58944558545806,-0.206401592422114,0.836953370089153,0.923462122165598,"ZBTB33"
"8",10010,0.137978219135989,-0.540348416198222,1.61729477659096,0.109388975240354,0.290888426261818,"TANK"
"9",10011,-0.0244488029996308,-0.738691795092561,-0.296975786584904,0.767183886341954,0.884184103072078,"SRA1"
"10",100131017,0.141369160374105,-1.82445839751575,1.13422800971819,0.259774986252781,0.488211532645307,"ZNF316"
"11",100131187,-0.111426679267241,0.672473267009422,-0.536414002233146,0.593024064986021,0.775619371592626,"TSTD1"
"12",100131755,-0.241049332445843,-2.34033993270304,-2.00896647812091,0.047601273062885,0.1757819296258,"ARMCX4"
"13",100131801,-0.158889275156139,-1.88961008639272,-1.30627193508926,0.194859437365131,0.413102101997987,"PET100"
"14",100132916,-0.340170411644305,-1.85445991621207,-1.23668130910022,0.21949125843578,0.440849916321603,"SHISAL2B"
"15",100137047,0.0183797870251732,-1.2162335838603,0.148137184274427,0.882572952937746,0.945580866666414,"JMJD7"
"16",10014,-0.208475110882836,-1.44673391192781,-1.9193112279697,0.0581810449518592,0.197760791131603,"HDAC5"
"17",10016,0.016944550521361,1.9132302837249,0.232700082516719,0.816533929356839,0.913515069820556,"PDCD6"
"18",10020,-0.245824872563805,1.54948651376259,-3.11602009384515,0.0024745625063209,0.0314919295715027,"GNE"
"19",10026,-0.0366048833120906,0.574816609582524,-0.399591771200806,0.690424093374728,0.836687677222918,"PIGK"
"20",100287932,-0.061813118354515,0.19084681873179,-0.589408578181313,0.557095352768562,0.746604655549695,"TIMM23"
"21",100288695,-0.0660225990936096,-6.23785821463884,-0.225353489701152,0.822226089569328,0.916073622397971,"LIMS4"
"22",100293534,0.164621585381456,1.05156051448954,0.76779966719764,0.444658758271384,0.660531330655798,"C4B_2"
"23",1003,0.0510033890928268,-0.584213320534177,0.417719186103795,0.677168516014386,0.828791285692059,"CDH5"
"24",100302736,-0.146485518478768,3.1686248814712,-2.23439740572023,0.0279868050508315,0.124990693230855,"TMED7-TICAM2"
"25",1004,-0.205950548005637,-1.75231282440171,-0.935467482972979,0.35210395478412,0.582223619198526,"CDH6"
"26",10040,-0.16944112470811,1.29800015618022,-1.96300839632559,0.0527991072528951,0.187179971057174,"TOM1L1"
"27",10042,-0.10889333551385,-5.00644649027222,-0.604650070885009,0.546965304329405,0.738999127883312,"HMGXB4"
"28",10043,-0.196426039822805,1.44997903282698,-2.13748098400259,0.0353284393430933,0.144563973791938,"TOM1"
"29",10048,-0.153105228819412,-0.805998246066141,-1.85657794324335,0.0667126302578612,0.215535124775744,"RANBP9"
"30",100505876,-0.0512264996799809,-0.80679205067891,-0.324970400911458,0.745973730233934,0.872511677548126,"CEBPZOS"
"31",100506658,0.617311391306389,0.0301518974806001,2.65350631103977,0.00944939129921385,0.0646167603470449,"OCLN"
"32",100526664,0.022478117259306,-1.60282836670063,0.153299974848558,0.878512224454137,0.943680826817466,"LY75-CD302"
"33",100526737,-0.00200099383498653,2.70950376238261,-0.030144876160287,0.976019679846682,0.989235269963496,"RBM14-RBM4"
"34",100527963,0.155201686664542,-5.40522629824119,0.72275259227083,0.47174578610352,0.682435926255811,"PMF1-BGLAP"
"35",100528030,-0.0835644785158633,-4.54621114030016,-0.31451682458816,0.753871999251859,0.877040623845321,"POC1B-GALNT4"
"36",100528062,-0.252154661977975,-1.84395830880424,-1.40043835342015,0.164893401587618,0.376111370845336,"ARMCX5-GPRASP2"
"37",100529261,0.0153679042007801,-0.000821810882782928,0.201435223415337,0.840822529799183,0.926041875835945,"CHURC1-FNTB"
"38",10053,-0.0673527985956588,1.57909019973095,-0.882729078418673,0.379784400274543,0.606558228172355,"AP1M2"
"39",100532731,-0.203242529784194,-0.324776190038892,-1.78921876206224,0.0770153733900807,0.234950478065763,"COMMD3-BMI1"
"40",100534599,0.0316268696739523,-0.85599803824526,0.335629178093079,0.737948283953678,0.868228669770729,"ISY1-RAB43"
"41",10055,-0.119771566185272,1.37823228810291,-1.46344917790979,0.146902485538961,0.350435293073048,"SAE1"
"42",10057,-0.273189939617991,1.34487167605842,-1.34303180905733,0.182710603073156,0.39825201763602,"ABCC5"
"43",10058,-0.39738940218052,0.41248027758002,-3.77695035790929,0.000287821527352654,0.0124665405411112,"ABCB6"
"44",10059,-0.273407220913426,2.2503373894131,-3.15142312588642,0.00222034179017643,0.0301514555489003,"DNM1L"
"45",10063,-0.31102794996224,2.07854026784809,-1.9876102796445,0.0499595849104711,0.18134354357213,"COX17"
"46",10067,-0.135391067169921,1.70620433767588,-1.577872208076,0.118178218702251,0.304014210559269,"SCAMP3"
"47",10072,0.187821845891632,2.20034017340743,2.33878258078599,0.021609228818391,0.106707519297895,"DPP3"
"48",10073,0.120538727540253,-0.766467347514571,1.24688090326308,0.215745191881349,0.436611931344451,"SNUPN"
"49",10078,-0.079844144602663,-0.52025907456066,-0.931270014076485,0.354258295977231,0.584369099894718,"TSSC4"
"50",10079,-0.346283958311955,3.01556534174116,-2.15659045178977,0.0337609201186827,0.140300966613727,"ATP9A"
"51",10081,-0.105844256272315,-2.30126183038127,-0.913160621928916,0.36364971625136,0.592888435469035,"PDCD7"
"52",10084,0.0270390411168218,0.779830766431279,0.224317442380716,0.823029595656589,0.916168962303254,"PQBP1"
"53",10085,-0.188672344237481,1.50406051659843,-1.36174656333062,0.176749190846187,0.390668539219984,"EDIL3"
"54",100885850,-0.0332659487741104,0.572917897671835,-0.423136732020578,0.67322638922581,0.826392920274963,"PTGES3L-AARSD1"
"55",1009,-0.329156196492811,-3.6079396649122,-1.51972879627137,0.132159150861809,0.326698698344658,"CDH11"
"56",10095,0.142716432983611,2.50230543686634,1.81523272754079,0.0728899284518986,0.226530825740635,"ARPC1B"
"57",10099,-0.0419739326665103,1.94568096686434,-0.208212679464477,0.835543394866491,0.922661007961489,"TSPAN3"
"58",100996928,-0.274952255956803,1.48585392574345,-2.73119064316599,0.0076220016515253,0.0572629695680077,"FMC1-LUC7L2"
"59",10101,0.18819130705639,0.0423605983090663,2.1589145632026,0.0335744652440341,0.139822636684877,"NUBP2"
"60",10102,-0.221533585765351,1.41064615140049,-2.44456362595139,0.016493825989723,0.0905537602190693,"TSFM"
"61",10105,0.441042211319328,1.30335389274657,3.28895398255296,0.00144622795916508,0.0247268724605995,"PPIF"
"62",10106,-0.128574020793426,-1.33213624755108,-0.996205629425897,0.321877944555207,0.5540334227737,"CTDSP2"
"63",10110,0.206506696401006,-2.34759354319273,1.01154024364618,0.314527373331077,0.545050541362549,"SGK2"
"64",1012,-0.168275093258359,-1.96849841458895,-0.627808764178366,0.531752814514311,0.726117636371266,"CDH13"
"65",10120,-0.105832100376313,0.20851106695449,-1.33878814123013,0.184083235079088,0.400230458919111,"ACTR1B"
"66",10128,-0.160267254852116,3.68278459118037,-1.95505125398978,0.0537463930030071,0.189160183630996,"LRPPRC"
"67",10129,-0.0318866127855615,-1.38995529120308,-0.336113656202543,0.737584181413635,0.868228669770729,"FRY"
"68",10130,0.120576990230414,3.95391424337729,1.24635290150122,0.215937957627843,0.436771511440024,"PDIA6"
"69",10133,-0.0653116149320269,-0.0905123712369652,-0.646781694267558,0.519454393296098,0.7173028270082,"OPTN"
"70",10135,0.271430800965979,3.17645387087101,1.72731396275677,0.0876148086357294,0.255031615465631,"NAMPT"
"71",10136,0.539044235934862,3.4815120087941,0.90530150763979,0.367774248705053,0.595583777731201,"CELA3A"
"72",10147,-0.0614142316953182,0.0859393156897468,-0.629697004885668,0.530522147839146,0.725405422908593,"SUGP2"
"73",10149,-0.229520965550233,-1.83046278759247,-1.4731466196331,0.144274602575409,0.346820894761681,"ADGRG2"
"74",10150,0.0507041750195414,1.99802462363556,0.680428172575433,0.498017267485698,0.702181483804106,"MBNL2"
"75",10152,-0.311083361829165,-0.272055374145907,-3.00094971030712,0.00350005957429906,0.038294769459978,"ABI2"
"76",10154,-0.413079295410827,-1.43920445003426,-2.60500985756212,0.0107831484089532,0.0699650792115803,"PLXNC1"
"77",10156,-0.264959763075594,0.37141881791687,-1.71332890893408,0.0901681755862571,0.259230268432941,"RASA4"
"78",10157,-0.174594640855528,-0.287769556430083,-1.75831797071424,0.0821653966397045,0.244228186234628,"AASS"
"79",10159,-0.366522821122613,1.73375041864002,-3.2894219231118,0.00144409054941019,0.0247268724605995,"ATP6AP2"
"80",10160,0.440446316228166,-0.137639869125894,4.61155992331223,1.34565902952241e-05,0.00247454902057905,"FARP1"
"81",10162,0.155476100187159,1.80338538028431,1.87675711906294,0.063860651406762,0.209389251247171,"LPCAT3"
"82",10166,0.247033490435455,-0.502681740104534,1.84961315297972,0.0677214266307164,0.217289135734102,"SLC25A15"
"83",1017,0.0886733496743692,-1.47673592127662,0.766814004579939,0.445241623183024,0.661039463738486,"CDK2"
"84",10171,0.202618758067197,-0.77581984634083,3.14803024808382,0.00224360723313818,0.0302001342039521,"RCL1"
"85",10174,-0.144397022667552,0.738967456072943,-1.68062996742595,0.0963764022554984,0.269257331381087,"SORBS3"
"86",10179,-0.0104452844618632,-0.706307530908183,-0.1068883422044,0.915120532642167,0.96115842391472,"RBM7"
"87",10180,-0.0901777567987566,-0.594795540299936,-0.815722929921079,0.416858069750504,0.637120227123654,"RBM6"
"88",10188,-0.0798827339622252,-1.67860396751324,-0.72151188645195,0.472504699905891,0.682890004243551,"TNK2"
"89",10189,-0.0252079840230044,2.4424025241407,-0.266712819990876,0.790313419902794,0.898061921277611,"ALYREF"
"90",1019,-0.211275226313717,0.847827016097071,-2.26558280849377,0.0259275264395067,0.119476844809078,"CDK4"
"91",10190,-0.211553682682297,0.00495778132514377,-1.90438462174099,0.0601226695690476,0.200998336500444,"TXNDC9"
"92",101928527,-0.205460355014178,-1.2253902181092,-1.60503359726364,0.11206445374736,0.29505948471814,"PIGBOS1"
"93",10193,0.0610946306322055,-1.30989441599447,0.58179637358769,0.562189277379654,0.750808917440452,"RNF41"
"94",10195,0.0669164603987146,-0.958140778841364,0.563283357125403,0.574672466725644,0.761437114569203,"ALG3"
"95",10196,-0.060412014031288,-3.17047426160014,-0.416677843273392,0.67792729452775,0.828791285692059,"PRMT3"
"96",10197,0.186670305286363,1.06637641282232,2.164075279594,0.0331636404294545,0.138663777217978,"PSME3"
"97",10199,-0.318401986787606,-0.389973194859482,-2.2045019579093,0.0300941247503002,0.130434985715375,"MPHOSPH10"
"98",102,0.261234666245094,1.55850166458866,3.30321215149387,0.00138241464077202,0.0241583227008428,"ADAM10"
"99",1020,-0.20982650595872,0.532085203835112,-2.72217496777865,0.00781617149519386,0.0578717257388419,"CDK5"
"100",10200,-0.0780599341750855,-0.792333268422257,-0.654667824974368,0.514386806771567,0.713360946253857,"MPHOSPH6"
"101",10201,-0.20807462483337,-3.55236936549654,-0.87000755234978,0.386660007429593,0.611995648685622,"NME6"
"102",10202,0.179641236867145,-1.69416502531329,0.663689231121199,0.508621915182853,0.709688864603854,"DHRS2"
"103",10204,0.167145984377153,2.65229762000475,1.24266612522601,0.217287462254126,0.437746714460424,"NUTF2"
"104",10209,0.0326970480286921,-0.184052144057591,0.233157488922701,0.816179851557777,0.913424604319081,"EIF1"
"105",1021,0.0165583705903141,0.0448854920128726,0.181048820852283,0.856745019452608,0.933552446192102,"CDK6"
"106",102157402,0.303746994451803,-0.726209485850408,1.20512745707405,0.231380468573371,0.453392086927994,"AK6"
"107",10216,0.128396225757842,0.194638738191288,0.463842588066818,0.643904290976374,0.810725033438561,"PRG4"
"108",1022,0.152568592859437,-1.15192411727217,1.77838212266303,0.0787901201193176,0.238116079415249,"CDK7"
"109",10226,0.469487821620162,1.77565695210726,2.86057158502374,0.00527987906646331,0.0471730679911962,"PLIN3"
"110",10227,0.218810895656528,0.502637847437377,1.64122210145975,0.104315891637086,0.282439763065034,"MFSD10"
"111",102288414,0.164182922722354,-0.540694250647012,1.4182750767472,0.159637331338286,0.367813040448348,"C11orf98"
"112",10229,0.030948645248658,0.478414589980731,0.364379176385328,0.716447798907404,0.853894483435659,"COQ7"
"113",10237,0.189723552715051,-0.0167670363274545,1.72723994401133,0.0876281650402436,0.255031615465631,"SLC35B1"
"114",10239,-0.264867281721249,1.18691012032423,-2.28998102379809,0.0244105412809081,0.115160569742389,"AP3S2"
"115",10241,-0.149261541017021,-1.97258572764524,-1.29549542304544,0.198532794949735,0.416755914979985,"CALCOCO2"
"116",10244,-0.061352430262667,-0.0818844575372577,-0.700373008646458,0.485539456142854,0.692232161712013,"RABEPK"
"117",10247,0.487525516855407,0.265003407223551,2.90451878423726,0.00464881680264612,0.043831701282092,"RIDA"
"118",10248,0.117420492401526,-0.916146227951645,1.11623573682614,0.267355769859741,0.495859367109168,"POP7"
"119",10250,0.175321721276634,0.621147005170631,1.27537995967674,0.205526835821634,0.423756707515347,"SRRM1"
"120",10254,0.030366555352196,0.229375908062228,0.359114145320652,0.720368748981901,0.856405845680981,"STAM2"
"121",10257,0.193962710944488,-0.745787390071593,1.55227434384135,0.124180842975678,0.313929989367675,"ABCC4"
"122",1026,-0.0867090276344089,-1.58039029403271,-0.38125145930805,0.70393434032355,0.844886386567452,"CDKN1A"
"123",10260,0.108181030797794,-0.629566295405231,1.34050709632151,0.183526299033479,0.39932095833658,"DENND4A"
"124",10262,-0.0281236113196591,0.440551357968617,-0.288709166329935,0.773482005039928,0.887407952698145,"SF3B4"
"125",1027,-0.35807192468513,-2.95171955940358,-1.81730822645126,0.0725688589272714,0.225876093354763,"CDKN1B"
"126",10270,0.0988540185375125,-0.488826696806445,0.893706898324308,0.373913072350424,0.600177415817704,"AKAP8"
"127",102724560,0.305372483012367,-1.0584944064179,1.27000486079161,0.207426206428986,0.426098412001713,"LOC102724560"
