"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","dataset"
"1","GO:0030672","synaptic vesicle membrane",91,0.646109195472768,-2.39473078100029,1e-10,4.74e-09,3.31578947368421e-09,1346,"tags=41%, list=12%, signal=36%","STX1A/SYP/SLC6A17/SYT4/SYN1/SVOP/ATP6AP1/UNC13A/ABCC8/AMPH/SV2A/SYNGR3/WFS1/SLC4A8/SYT5/SYT9/ATP6V0E2/PRRT1/OPRD1/CBARP/RAB3B/SYT7/TAFA4/GAD2/PHAF1/SLC18A2/SLC6A9/ATP6V0D1/RAB3C/SYNGR4/RAB3A/SLC35D3/ATP6V1G2/MCTP2/RAB26/SLC9B2/ATP6V1G1","Humanislets.com bulk RNAseq"
"2","GO:0099501","exocytic vesicle membrane",91,0.646109195472768,-2.39473078100029,1e-10,4.74e-09,3.31578947368421e-09,1346,"tags=41%, list=12%, signal=36%","STX1A/SYP/SLC6A17/SYT4/SYN1/SVOP/ATP6AP1/UNC13A/ABCC8/AMPH/SV2A/SYNGR3/WFS1/SLC4A8/SYT5/SYT9/ATP6V0E2/PRRT1/OPRD1/CBARP/RAB3B/SYT7/TAFA4/GAD2/PHAF1/SLC18A2/SLC6A9/ATP6V0D1/RAB3C/SYNGR4/RAB3A/SLC35D3/ATP6V1G2/MCTP2/RAB26/SLC9B2/ATP6V1G1","Humanislets.com bulk RNAseq"
"3","GO:0022626","cytosolic ribosome",91,-0.707684692162984,2.29058955957398,1e-10,4.74e-09,3.31578947368421e-09,2775,"tags=81%, list=24%, signal=62%","RPS20/RPL28/RPL26/RPL23A/RPL37A/RPS3/RPS27A/RPLP1/RPL39/RPL38/RPL31/FAU/RPL5/RPL4/RPL24/RPS11/RPL10A/RPS23/RPS12/RPS7/RPL27/RPL34/RPL37/RPS15/RPS25/RPL30/RPL27A/RPS21/RPS24/RPLP2/RPL19/RACK1/RPL36/RPS3A/RPL35A/RPS17/RPS29/RPS6/RPL32/RPL12/RPL18/RPL23/RPL35/RPL13A/UBA52/RPL17/RPS13/RPL7A/RPL8/RPL7/RPL41/RPS14/RPS18/RPS28/RPS8/DDX3X/RPLP0/RPS27/RPS15A/ZNF598/RPS9/EEF1A1/RPL13/APOD/RPL29/RPS27L/RPL18A/RPS2/RPS16/RPL14/RPS5/RPSA/RPS19/RPL10","Humanislets.com bulk RNAseq"
"4","GO:0008021","synaptic vesicle",144,0.562197701754262,-2.22589347045402,1e-10,4.74e-09,3.31578947368421e-09,1346,"tags=39%, list=12%, signal=35%","STX1A/SYP/SLC6A17/SYT4/SYN1/SVOP/ATP6AP1/BRSK1/SNAP25/UNC13A/ABCC8/AMPH/SV2A/KIRREL3/SYNGR3/WFS1/SLC4A8/SYT5/SYT9/ATP6V0E2/DLG4/SNAP91/PRRT1/TRIM9/OPRD1/CBARP/RAB3B/SYT7/HAP1/TAFA4/LGI3/GAD2/GRIN2A/CLCN4/PHAF1/STX2/SLC18A2/AP3M2/SEPTIN5/SLC6A9/ATP6V0D1/RAB3C/RABAC1/RAB12/SYNGR4/RAB3A/SLC35D3/RAB40A/DISC1/SYT11/ATP6V1G2/TH/MCTP2/RAB26/SLC9B2/ATP6V1G1","Humanislets.com bulk RNAseq"
"5","GO:0030658","transport vesicle membrane",164,0.545714708716539,-2.19965084407091,1e-10,4.74e-09,3.31578947368421e-09,1346,"tags=32%, list=12%, signal=28%","STX1A/PTPRN/SYP/SLC6A17/CNIH2/SYT4/CPE/SYN1/SVOP/ATP6AP1/UNC13A/ABCC8/AMPH/SCG3/SV2A/CLBA1/SYNGR3/MAP6/PAM/WFS1/SLC4A8/SYT5/SYT9/ATP6V0E2/PRRT1/OPRD1/CBARP/RAB3B/SYT7/SORL1/TAFA4/GAD2/SCGN/SREBF1/SAR1B/RPH3AL/PHAF1/SLC18A2/SLC6A9/TMEM184A/ATP6V0D1/RAB3C/HLA-G/SYNGR4/AP1S1/RAB3A/SLC35D3/ATP6V1G2/MCTP2/RAB26/SLC9B2/ATP6V1G1","Humanislets.com bulk RNAseq"
"6","GO:0044391","ribosomal subunit",131,-0.639701887821528,2.15461589557819,1e-10,4.74e-09,3.31578947368421e-09,2994,"tags=63%, list=26%, signal=47%","RPL11/MRPL34/RPS4X/MRPS34/MRPL24/RPS20/RPL28/MRPL15/RPL26/MRPL30/RPL23A/RPL37A/RPS3/RPS27A/RPLP1/RPL39/RPL38/RPL31/FAU/RPL5/RPL4/RPL24/RPS11/RPL10A/RPS23/RPS12/RPS7/RPL27/RPL34/RPL37/RPS15/RPS25/RPL30/RPL27A/RPS21/RPS24/MRPS6/RPLP2/RPL19/RACK1/RPL36/MRPL58/RPS3A/RPL35A/RPS17/RPS29/RPS6/MRPL16/RPL32/RPL12/RPL18/RPL23/RPL35/RPL13A/UBA52/RPL17/RPS13/RPL7A/RPL8/RPL7/RPL41/RPS14/RPS18/RPS28/RPS8/DDX3X/RPLP0/RPS27/RPS15A/RPS9/RPL13/RPL29/RPS27L/MRPL11/RPL18A/RPS2/RPS16/RPL14/RPS5/RPSA/RPS19/RPL10","Humanislets.com bulk RNAseq"
"7","GO:0005840","ribosome",156,-0.596852674818725,2.05297237215132,1e-10,4.74e-09,3.31578947368421e-09,2882,"tags=56%, list=25%, signal=43%","RPS4X/MRPS34/MRPL24/RPS20/RPL28/MRPL15/RPL22L1/RPL26/MRPL30/RPL23A/RPL37A/RPS3/RPS27A/RPLP1/RPL39/RPL38/RPL31/FAU/RPL5/RSL24D1/RPL4/RPL24/RPS11/RPL10A/RPS23/RPS12/RPS7/RPL27/RPL34/RPL37/RPS15/RPS25/RPL30/RPL27A/RPS21/RPS24/MRPS6/RPLP2/RPL19/RACK1/RPL36/MRPL58/RPS3A/RPL35A/RPS17/RPS29/RPS6/MRPL16/RPL32/RPL12/RPL18/RPL23/RPL35/RPL13A/UBA52/RPL17/RPS13/RPL7A/RPL8/RPL7/RPL41/RPS14/RPS18/RPS28/RPS8/DDX3X/RPLP0/RPS27/RPS15A/ZNF598/RPS9/EEF1A1/RPL13/APOD/RPL29/RPS27L/MRPL11/RPL18A/RPS2/RPS16/RPL14/EEF2/SERP1/RPS5/RPSA/RPS19/RRBP1/RPL10","Humanislets.com bulk RNAseq"
"8","GO:0098793","presynapse",420,0.452561462455787,-2.01080566168829,1e-10,4.74e-09,3.31578947368421e-09,1346,"tags=26%, list=12%, signal=24%","GRIN2D/STX1A/PTPRN/SYP/SLC6A17/SYT4/SYN1/GUCY1B1/SVOP/ATP6AP1/BRSK1/SH3GL2/PRAF2/SNAP25/UNC13A/ABCC8/AMPH/SV2A/PFN2/AP3B2/KIRREL3/SYNGR3/PCSK1/LIN7B/WFS1/SLC4A8/LRFN2/SYT5/BAIAP3/SYT9/ATP6V0E2/DLG4/KCNA6/PPFIA3/SNAP91/STXBP1/PRRT1/TRIM9/GNAO1/OPRD1/GPR158/CPLX1/GPM6A/NLGN4Y/CBARP/RAB3B/NTNG2/SYT7/CASR/SNCB/PRUNE2/USP5/CPLX2/KCNH1/HAP1/CDK5R2/DDN/SNPH/TAFA4/LGI3/GAD2/SCGN/RAB6B/SLC6A13/RGS9/NPTX2/CYP46A1/CNTN1/GRIN2A/CLCN4/ADAM11/SLC4A10/RPH3AL/PHAF1/PI4K2A/PRKCG/STX2/SLC18A2/AP3M2/SEPTIN5/SLC6A9/SCN2A/ATP6V0D1/RAB3C/GRIK5/RABAC1/RAB12/SYNGR4/SEPTIN3/CADPS/CHRNB2/SLC29A4/CDK5R1/RAB3A/GRK3/SLC35D3/RAB40A/DISC1/SYT11/ATP6V1G2/TH/MCTP2/SYNJ1/RAB26/CABP4/CACNA2D1/SLC9B2/ERC1/ATP6V1G1","Humanislets.com bulk RNAseq"
"9","GO:0099568","cytoplasmic region",228,0.483645568220967,-2.00739858870774,1e-10,4.74e-09,3.31578947368421e-09,2208,"tags=40%, list=19%, signal=33%","UCHL1/GUCY1B1/UNC13A/SPAG6/EFHC1/CFAP206/AP3B2/KIF4A/CFAP263/TMEM108/SPATA4/MAP1A/DLG4/PPFIA3/IQUB/STXBP1/KIF5C/RSPH1/SPEF1/BLOC1S3/DRC3/IFT70B/HAP1/TRIM46/TEKT2/TEKTIP1/DLG2/CFAP126/CFAP184/CIMIP2C/HDAC6/KIF5A/AP3M2/DNAH6/DNAI3/CFAP95/PIERCE1/TEKT1/CLASP2/MAP2/MAPT/CFAP276/HYDIN/IFT70A/LCA5L/WDR54/CFAP90/AK8/DRC1/ODAD1/CFAP20/ARL6/ERC1/HPCA/KLHL17/TUBA1A/CFAP61/BBS5/KIF1A/DNAI7/ODAD3/WDR35/ODAD4/CFAP46/ATG14/DZIP1L/SOD1/TEKT4/RSPH4A/DNAL1/RIMS2/BBOF1/CFAP77/DNAH2/CFAP144/DNALI1/SAXO4/GPSM2/SPAG8/DNAI2/INSC/PACRG/RPGRIP1L/KIF21A/RAB17/CFAP210/BAIAP2/KIF17/SAXO2/DNAH3/CFAP45","Humanislets.com bulk RNAseq"
"10","GO:0030133","transport vesicle",289,0.447426009774189,-1.90783062008747,1e-10,4.74e-09,3.31578947368421e-09,1358,"tags=28%, list=12%, signal=25%","STX1A/PTPRN/SYP/SLC6A17/SYT13/GNAS/CNIH2/SYT4/CPE/SYN1/SVOP/ATP6AP1/INS/BRSK1/SNAP25/UNC13A/ABCC8/AMPH/SCG3/SV2A/CLBA1/KIRREL3/SYNGR3/MAP6/PAM/PCSK1/WFS1/SLC4A8/SYT5/SYT9/ATP6V0E2/DLG4/SNAP91/PRRT1/TRIM9/OPRD1/CBARP/RAB3B/SYT7/CHGA/BLOC1S3/HAP1/SORL1/TAFA4/LGI3/GAD2/SCGN/SREBF1/GRIN2A/SAR1B/CLCN4/RPH3AL/VGF/PHAF1/STX2/SLC18A2/AP3M2/SEPTIN5/SLC6A9/TMEM184A/ATP6V0D1/RAB3C/HLA-G/RABAC1/RAB12/SYNGR4/AP1S1/SYT17/RAB3A/SLC35D3/RAB40A/DISC1/SYT11/ATP6V1G2/TH/MCTP2/RAB26/SLC9B2/ATP6V1G1/APH1B","Humanislets.com bulk RNAseq"
